acc,loss,val_acc,val_loss,batches_per_epoch,epoch_time_sec
0.239130437,2.388672352,0.047619049,7.568146706,2,4.560086727
0.739130437,0.774784148,0.047619049,9.174616814,2,2.555845499
0.913043499,0.444120318,0.047619049,8.685894966,2,1.730198622
1,0.260100693,0.190476194,7.605420113,2,2.535719872
1,0.19231461,0.190476194,6.754524708,2,2.55364728
0.978260875,0.176105827,0.190476194,6.3078475,2,2.550792933
1,0.077888533,0.190476194,6.0038414,2,1.720407724
1,0.076577231,0.190476194,5.71027565,2,1.72739768
